SUPT4H1 	HTATIP2
IGFBP1 	PIK3CG
IL22 	F11R
MYOM1 	MAPT
UBQLN3 	TLR2
FGF4 	APTX
SF3B14 	AURKA
FDX1 	CACNA1S
UAP1 	NEDD4
USP4 	SPTBN1
NCOR1 	INSC
STK25 	LEPR
MKNK2 	ANXA5
CALCRL 	ARHGAP32
LIMS1 	SRI
PSIP1 	MST4
PTPN18 	RABGAP1L
PPP5C 	SDR39U1
CEP170 	UBA3
ETFA 	CASC3
MASP1 	GPX7
S100A16 	MKNK2
PAIP2 	TNFRSF1B
TNFRSF21 	SF3B1
CAT 	SPSB1
NFAT5 	MAPK6
GALM 	CHEK1
MS4A1 	THOP1
AIF1 	RPL10
ACMSD 	PPARG
PDLIM5 	AOC3
KDM7A 	TES
CDKL5 	CDK16
ADAMTS5 	AP1G2
HMGCS2 	KCND3
NFASC 	ECT2
CSTB 	PUF60
TGM2 	PIM2
PDE6D 	RGS8
POLR3C 	ERG
TNFRSF13B 	BAK1
ZFYVE16 	SULT1A1
H2AFY2 	TOP1
CALCRL 	ACACA
CYP2A6 	DYNLL2
USP15 	PRKAR1B
TAF9 	GLP1R
BST2 	CYP2A13
RAB9A 	MAPKAPK2
CASP7 	ERH
NADK 	MVD
ASAP3 	AGO2
KDR 	IFIT5
STK11 	ALDH18A1
PPME1 	MAP2K5
FOXP3 	SENP1
ARHGAP20 	BRAF
PLXNA2 	ISG15
TAF1L 	MECR
DDI1 	DPY30
HK3 	RHPN2
MYCBP 	AP1G1
ITPK1 	PDE6D
CDC37 	C11orf54
HDDC3 	PPIL1
MELK 	SMG6
ALDH18A1 	RNASET2
TCEB1 	AIF1
GFPT1 	GIMAP2
MAOB 	RPA1
HJURP 	YAP1
TNFSF10 	ASL
BAI3 	SACS
SPOP 	STIP1
SULT1B1 	YARS2
MKNK1 	ZFPM1
MSH2 	NEIL1
NOTCH1 	NNMT
APRT 	ITGB4
ACOT11 	GPC1
RNF2 	ARG2
FGF19 	ACVR1
MAP1LC3C 	ITGA4
PIM1 	THTPA
BRK1 	PRKCG
THRA 	PEBP1
WDR61 	SDS
MAT1A 	UBQLN3
ERCC1 	TSTA3
SLC9A3R1 	IPO13
TES 	SULT2A1
MAN1B1 	SDSL
PRKCH 	RUVBL1
TAF1 	COL10A1
IL18 	RP2
PDPK1 	SATB1
TTN 	TNFRSF17
RPS27A 	DPYS
CSNK1G3 	CARM1
HK2 	ZFYVE9
MYNN 	SHMT1
CDC20 	SIGLEC7
MAP2K6 	CAPN13
RAF1 	ADA
CHMP5 	TKT
VAMP2 	UCK1
ARHGDIB 	RCC1
CALCRL 	MLH1
DKK1 	JUND
PGR 	PCTP
NUDT18 	CYP1A2
UBE2S 	HK3
AK2 	DCPS
SRM 	S100A4
ZBTB17 	SMS
RHOD 	DESI1
STAU1 	EIF4G2
FABP5 	KLRG1
SEMA7A 	NUDT5
CCNK 	KAT2B
AADAT 	RASGRP1
GRB14 	NR1H4
CHN1 	HIST1H1E
TPK1 	TXNDC5
ACOT4 	HTRA1
PDIA5 	ETF1
UBE2J2 	FOXM1
RHOD 	FECH
HLTF 	GINS2
MAOB 	STX6
CNOT7 	FABP5
TYW5 	RYR3
CHI3L1 	GLRX3
JUND 	JUP
VCP 	SOS1
SULT1B1 	TIGIT
UBA52 	CRAT
MAST1 	RALGPS1
TRAPPC6A 	NEDD4
ACADVL 	FKBP1A
TBX5 	ERP29
CEBPB 	BMX
USP7 	RRM2B
PPP1R13L 	ARNTL
PLEKHA3 	RGS3
HOMER3 	DDX52
MUM1 	SMS
DPF2 	FAF1
AKR1C3 	GRB14
IFIH1 	HSPA1L
RAP1GAP 	MTERFD1
ZDHHC17 	IFIH1
CHMP4C 	ADSL
UBE2G2 	DDX3X
SRPK2 	TAF11
PRPF19 	UCHL1
PNKP 	CD40LG
RECQL 	KIF2C
FGF10 	SNRPF
ARHGEF11 	PGAM5
TASP1 	SUV39H1
MET 	CCS
FKBP3 	TYMP
PDCD1 	ARG1
MAPRE1 	BCL2A1
TRIM33 	ELMO1
CHMP4B 	BTBD2
ZADH2 	IGFBP1
TLR2 	GSTP1
POU6F1 	KAT6A
KRAS 	SRSF1
GATM 	PIP4K2B
TOM1 	ATIC
GUCY1A3 	TRAF4
MTRR 	RAB11FIP2
NME1-NME2 	AOC1
PTPRJ 	SDS
GPI 	KPNB1
CHMP1A 	EIF4EBP2
PIK3C3 	COPS5
AHI1 	MEIS2
FBXL5 	NDST1
PTPRD 	MAP1LC3C
GBP1 	KANK2
NRP1 	RNLS
ENPEP 	RABGEF1
INADL 	NGB
ZC3HAV1 	CDKN3
U2AF2 	THBS2
DDX39B 	DDX52
CTDSP2 	GGA3
ZFPM1 	TBP
SULT1C4 	IGF1R
WDR92 	DCLK1
RSPO1 	TRIP10
PPP1CA 	ALK
UTY 	UBE2D2
DUSP9 	CCBL1
EP300 	GSTO2
NGB 	LRRC4
GRM5 	FGF8
RALGPS1 	HVCN1
CSTA 	SLAIN2
PLXNA2 	CARHSP1
IGF2R 	BCL2
CD69 	UBE2F
STS 	YWHAB
BROX 	GSTT2B
DDIT4 	GINS1
BPIFA1 	HIP1
ASAP3 	NEK2
TREX2 	ITGB7
SENP2 	UBE3A
CYP1A2 	SLC4A1
SEC14L2 	HDDC3
RAB4B 	PPARGC1A
NAMPT 	PPIP5K2
APITD1 	ARHGEF4
SEC13 	HSPB1
ITPKA 	RAB7A
MAP2K5 	TTC5
GPX8 	ACD
PPME1 	TCF12
VPS36 	OS9
SET 	MLYCD
GGPS1 	ETV1
VPS25 	PSPC1
PRKCH 	PRPF31
KDM4A 	CHP2
C9orf89 	CFL1
BARD1 	SNRPA
PANK3 	NMRAL1
RAD1 	CTNNBL1
MASP2 	BCL2L2
ARHGDIA 	KYNU
MVK 	ALDH1L1
SULT1A1 	SEPT3
APITD1 	SRP54
CLOCK 	POLK
BCL2L1 	XPC
EPHX2 	GTF2A1
MST4 	SOCS2
KDM4C 	DNM1
TCEB2 	CTDSP1
ZC3HAV1 	DDX3X
NFATC2IP 	YWHAZ
EZH2 	MAST1
LGR4 	JAK3
GSG2 	RIPK1
ANK1 	AKR1C4
ARL1 	TLR3
NUP43 	THYN1
SGTA 	HMBS
RAB21 	CDKL2
BCL2A1 	IST1
SUV420H1 	DSP
DDX20 	BCL2L2
GMNN 	TBC1D20
NT5E 	TAF5
THOP1 	BTLA
OXSM 	PLEKHB2
GOLGA4 	UBA2
CUTC 	EIF5A
MAPK6 	SAT1
CUTC 	PHYHD1
APBB1 	LIN28B
PMAIP1 	GAPDHS
GSS 	SUFU
DDX58 	ALKBH3
CDK6 	CD40LG
MST1R 	RAB11A
E2F1 	MEPCE
PLEK 	LASP1
RRAGC 	MBD4
PGR 	TNKS
GGCT 	UBR5
WAPAL 	ARHGEF4
MATK 	YWHAZ
RRP9 	DUSP3
YOD1 	POLR2G
ADK 	THBS2
SYTL4 	DCTD
MAPK7 	B3GAT3
THBS1 	RABGAP1L
PAPSS1 	GTF2F1
BECN1 	IGF2BP1
SYT1 	PLXNA2
C11orf30 	TASP1
NDEL1 	GATM
WDR92 	CNOT6L
ACO1 	PPARG
IL20RB 	PPARG
ANLN 	RPA3
FKBP14 	PDE6D
MAP2K5 	MTERFD2
RAB5A 	NR2F2
METAP2 	PTPRD
IL34 	BAK1
PABPC3 	USB1
CENPA 	SULT2A1
NUDT1 	ILK
ACO1 	ADAMTS4
PPIL1 	FGF23
BTF3 	AIFM1
TYMS 	CPSF7
EIF4G1 	GIMAP1
CUL5 	VCPKMT
CBX3 	CDC16
SETD1A 	BCR
DCPS 	S100A3
EIF4EBP2 	ZBP1
TLR10 	BRCA2
ETFB 	ETS2
RBBP9 	L3MBTL2
CNTF 	MAP3K3
GBP1 	RTF1
APBB1IP 	GATM
AKR1C3 	LAIR1
FNTB 	TRAPPC6B
RND1 	BMPR2
EPAS1 	CCNB1
PCNA 	IL10RB
NAIP 	CTDSP1
FEV 	TXNDC5
MORF4L1 	NRP1
AKR1C1 	TP53BP1
BRDT 	RPS6KB1
TBC1D7 	CLC
COTL1 	ADARB1
ESRRG 	CKS2
NNMT 	CAPN2
ADARB1 	ATXN2
IGF1R 	PTPN18
GFRA3 	ACTN1
KIF3C 	TRIM24
CDKN1B 	ALOX12
HBA2 	CNTN1
MAP3K5 	RAB28
PA2G4 	CYGB
ACBD7 	ADAP1
MPP7 	CYP11A1
PRKAA2 	HBP1
PHF20 	BACH1
MTOR 	SDSL
SPOP 	RAB7A
KAT5 	DDX19B
FGF10 	EIF2B5
PUS10 	UBE2G2
PTGR2 	TPX2
KPNA2 	CKMT2
PRKAA2 	OTUD1
EPHA4 	NTRK1
KDM4E 	TAT
U2AF1 	TLR4
CDC37 	ROR2
KHDRBS1 	ADAMTS1
ETV1 	SERPINB3
MATK 	PDGFRB
SPTAN1 	EIF4G1
TPH1 	PRKCH
ITSN1 	FCHO2
NCR3LG1 	C1QBP
MKNK1 	PDIA5
LHPP 	APP
RAP1B 	GALM
SLAMF1 	NRP2
UNG 	PPP5C
ACSS1 	MORF4L1
SNRPA1 	OCLN
TNC 	CES1
KAT6A 	DAPP1
OTC 	CFL1
SUV39H1 	PPME1
RHOU 	NEDD8
KAT2A 	CD5
ABHD14B 	CPOX
SRPK2 	NUDT16
KIF1A 	PTPRK
HDAC3 	RPRD2
PATL1 	LHPP
PDIA5 	RORA
PSMD10 	PC
SHMT1 	HSPA1A
NUP50 	PAICS
CDKN3 	CACYBP
PPIG 	NTRK1
CA7 	MCIDAS
TPI1 	SF3B14
DMAP1 	RASGRP1
PSPH 	HEXA
DPYS 	CSNK1G1
MTRR 	SPAG9
MPG 	SPOP
ASMTL 	CSNK2A2
HDAC3 	LNX1
SUV420H2 	ATF4
USP8 	CHKB
SRC 	ADAM33
SRM 	PEX5
CAMTA1 	HDAC8
RAD18 	CRYL1
PIWIL1 	DCAF5
SERPINB3 	PMM1
TATDN1 	AHCYL2
VIPR2 	PNPO
EED 	LAMTOR3
C9orf89 	TFDP1
BRCA1 	BCR
PPCDC 	POLRMT
JAK1 	CNOT6L
LY96 	NUDT21
UBE2F 	TXNDC12
ERP29 	CYP2R1
VIM 	RARB
DIMT1 	MAPK12
APOH 	FLCN
ENAH 	VPS4B
IL20 	PAXIP1
BMPR1B 	TNKS
ZBTB48 	CLIP1
PRDX2 	ERBB2IP
ALOX12 	AGER
SYMPK 	ROR2
FLCN 	HDDC3
FGFR1 	API5
BCL2L11 	UBAP1
MEPCE 	SEMA4D
CAPN7 	NCOA3
CST7 	PPARA
WARS 	GMNN
CHIT1 	BRPF1
DBI 	RTN4R
EDA 	SUMF1
CDKN1A 	NADK
RABIF 	ACYP1
ZBTB48 	BAZ2A
UTRN 	PARK2
NUMBL 	P4HB
SNRPA1 	LRP6
TDRD3 	YWHAG
JAG1 	ANKRD27
MTHFS 	DNM1L
NUP35 	GOSR2
NUDC 	ATXN2
ECE2 	SEPT2
EIF4A1 	GGT1
ERAP1 	RTN4IP1
KEAP1 	TOP1
MEN1 	ARL8A
FCER2 	ALDH18A1
GSTA1 	SNRPF
PPIL2 	CTH
EBF3 	TTN
PTPN1 	TNRC6C
ACTR8 	PRPF8
ARFGAP1 	CLIC2
GMDS 	DOCK2
ABCC1 	TNFAIP6
RAPH1 	FTL
HSPA1A 	PMP2
PLCE1 	LAMP3
THBS2 	ESR2
SPIRE1 	ACTN1
ROS1 	CBX1
NR0B2 	CXXC1
ID2 	GC
ARL2BP 	UBB
DPYSL2 	GALNS
YWHAH 	ANTXR1
TCEA1 	HSPA1L
NR5A2 	DAO
STK3 	CPSF7
MGAM 	PPARG
HBEGF 	PPARD
ZHX1 	FAIM
TRAF6 	CLCNKA
TATDN3 	RBM17
SLC9A3R1 	ARFGAP2
HSD17B14 	ADK
NEU2 	GGA2
TSN 	ADAMTS13
ZFYVE16 	FOS
CLINT1 	KAT8
NLGN4X 	PEX5
RBCK1 	EPHX2
SENP1 	AP4M1
DLG1 	RIPK1
AHCYL1 	DUSP26
SET 	ACADSB
TCEA1 	APOBEC3C
KCNJ4 	PUM1
RANBP2 	KAT5
CRYM 	CDC7
ADSS 	C3
ROR2 	PC
TLE1 	PDCD6IP
TNIK 	MIOX
CYP2R1 	POLD3
TBC1D20 	APOBEC3C
MERTK 	TNFSF15
YARS 	SMARCA4
CALM3 	NR5A2
C12orf5 	SMYD2
BCR 	MTMR6
RPRD2 	FGD5
SPEN 	CELF1
IGF1R 	MCFD2
PARK7 	RAMP2
OCLN 	FGFR2
NBR1 	NUP50
SUMF1 	SDS
BCOR 	GAMT
UEVLD 	HCN4
PEX19 	RBM17
APEX1 	USP21
P4HB 	NAALAD2
CASC3 	DPP3
MVD 	BPTF
ECI2 	CASP8
TEK 	TFRC
VAPB 	KDM4D
IL22 	CUL5
MGAM 	CDC26
SETD1B 	SLIT2
BCL2A1 	PPWD1
DDAH1 	SPIN1
LEPR 	BRMS1
PTPRF 	TEAD2
FMN2 	MRI1
OSTF1 	DDX18
ADK 	FCER2
SIRT3 	GINS3
SPON1 	SULT1B1
NSUN5 	RALGPS1
DCAF6 	DAPK1
F2 	NUDT21
MSN 	MCPH1
PTPRD 	CRADD
NAT1 	BCORL1
PRKAR1B 	GIMAP2
PBX1 	GALM
ADAP1 	CTSK
PLA2G4A 	EBF1
CLCN5 	CAPN13
CPOX 	ZBTB17
NIP7 	RPS27A
TBX3 	SCO1
SYN3 	NUDT1
RPL10 	AKR1C2
HTRA1 	S100P
HRSP12 	PPP2R2A
VPS26A 	MVK
SGOL1 	BRD4
GSTA1 	VTI1B
ARHGAP11A 	CASC5
CRYZ 	MYH7
PDLIM4 	ITGB7
TERF2IP 	TIRAP
GRM7 	ORC6
FTO 	DLG3
RUNX1 	NT5E
ACP6 	RNF31
PIM2 	SERPINB1
SAT2 	YOD1
IMPDH2 	CFH
FIGNL1 	JUND
COMTD1 	PAK1
UBE2F 	LARP4
MAP3K3 	PABPC1
PACSIN1 	C1S
VAMP2 	RPS6KB1
CETN2 	MKNK2
FGFR3 	ARL1
VHL 	DESI1
S100A8 	CACNA1C
MVD 	ACBD7
CCNT1 	GGT1
LMAN1 	CKS1B
PDCD10 	MPP7
PTPRG 	SEC24A
KLHL40 	APBB1
SMAD3 	HMGCL
RASA1 	TGFBI
NT5E 	TNFSF15
PPM1B 	HIF1A
C11orf54 	CABP1
H2AFY 	PDK1
MTPN 	TNFRSF6B
RNASEH2B 	ANXA2
NEDD8 	MAP2K2
MGAM 	MSRB1
HBB 	NEDD4
SOCS6 	PDIA5
AQP4 	EIF4G1
PEX3 	RPGR
GAN 	PARP2
DDR2 	NTRK1
WDYHV1 	PBX1
CHIA 	CBX1
PDLIM1 	NUMBL
SEPT2 	SLC9A3R1
KLHL12 	LRP8
MPP1 	GNAI3
HVCN1 	FKBP14
ROR2 	CALCOCO2
DPYSL2 	MST1R
SENP2 	KDM4E
SNX14 	LIN28B
APOA4 	POLB
TAF10 	ASRGL1
PASK 	SRR
FTL 	ADAMTS5
STS 	RACGAP1
REV3L 	PHIP
TRIP10 	UBE3A
SLC9A1 	CHKA
LGALS2 	FOXP3
FBN1 	DCTN6
MTPN 	UCHL5
HSD11B1 	API5
IL1RAPL1 	CPSF6
NCK1 	GOT1
SPAST 	ARHGEF1
HSPA1L 	RAB27B
GSPT1 	MERTK
MYO10 	PPP2R1A
DUSP5 	CLEC5A
CALM2 	CLIP1
PLEKHO1 	PHF21A
TCEA1 	DUSP14
TRAPPC6A 	IST1
CYP3A4 	SUPV3L1
MAPRE1 	S100A3
VHL 	TAF1L
RHPN2 	PPWD1
PWWP2B 	BLMH
UBE2T 	CHFR
RBKS 	SMN1
DCAF6 	TYK2
TAF1L 	RALGPS1
TAF1L 	CLIC3
VAMP2 	MPDZ
ZHX1 	TP53I3
GIPR 	OARD1
HEG1 	EPHA4
DAPP1 	KIF13B
DCAF6 	AADAT
PTPRN 	SH3KBP1
ACTN2 	FDFT1
APAF1 	ENY2
VPS36 	CCNDBP1
GMFG 	RAD52
BCOR 	FOXO1
NUP50 	TOP2A
PNRC2 	PTPN23
LRRC16A 	WDR77
HUS1 	HMOX2
SSH2 	EPHX2
WHSC1L1 	PPIA
FLNB 	EBF1
ARL5A 	IL20RA
KLC1 	GAS6
SKI 	ADH4
NR0B2 	NGB
ECHS1 	NADK
PHKG2 	PXN
HDHD2 	UBE2L3
PRKCA 	FKBP2
PSMD7 	TREX2
LAIR1 	PRKAR1B
RUNX1 	TRAPPC4
STK24 	IDUA
S100A8 	CYP7A1
PRMT5 	LONP1
CAPN1 	KIF3B
PDLIM5 	JUND
NTNG2 	HEXIM1
RGS6 	C19orf40
BLVRA 	ALKBH3
TFDP1 	TAF13
RELA 	CENPA
CIAO1 	MAD2L1
SEPT3 	IST1
OLA1 	NT5E
TUBGCP4 	MCL1
KAT8 	XRCC5
ACVR2B 	GIMAP2
RERG 	CSTB
LRRK2 	AIP
KIF2C 	ITGA4
KPNA2 	L3MBTL3
ADAT2 	IDE
THRA 	ITGB1BP1
KAT2A 	POU6F1
HIP1R 	GAPDHS
KDM1A 	GCKR
SUV39H1 	ASPA
PEBP1 	S100A4
KIF16B 	SNF8
NLGN4X 	NUDT18
SERPINE1 	DCAF12
RARA 	SEC24A
PHF13 	PDLIM4
SYK 	SCML2
STARD3 	SLAMF1
PDLIM7 	RBCK1
RNLS 	CASK
TP53BP1 	CYP2E1
PPCDC 	PHPT1
PDK1 	SCIN
NEDD8 	SCN5A
UNC119 	CDC14B
TLR10 	BCL6
NAT1 	RND1
CEP55 	CTPS1
DPF2 	HEXA
ITGB1BP1 	EFNB2
ORC6 	CDKN3
SNRPA 	CKS2
ERBB4 	CYP1B1
F11R 	FGD5
ZBP1 	MBD4
MARK1 	EIF4A2
L3MBTL1 	RBBP4
ABHD14B 	UBE2Q2
SNX1 	RMI2
DLC1 	BDH2
PGLYRP3 	CREBBP
RNF41 	CDC25C
PRDX1 	UBE2V2
PEX19 	VTI1B
KRIT1 	QSOX1
CHMP3 	DCLRE1C
ALK 	TLR3
DHH 	HINT1
HDHD2 	UBAP1
PLXNB2 	PIK3CG
FGF13 	OXSR1
ACBD7 	NGLY1
TREX2 	STK25
BLVRB 	FKBP4
RAB1A 	STK3
CRADD 	VRK2
GPHN 	CDYL2
CAP1 	FGF23
F2R 	KDM6B
GAPDHS 	TDRD5
NMRAL1 	MMACHC
AP1G1 	GAS6
PHF2 	POLR3C
STK16 	CCBL1
SNRPD1 	ZHX2
CHEK2 	STAU1
ZG16 	MAP1LC3A
ASPA 	GBP1
FTO 	QPRT
NFKBIA 	DDB1
PDE8A 	IKBKB
MPST 	HIP1R
ACTL7A 	PHF20
IST1 	GPD1L
MEF2B 	GLRX5
CTH 	FKBP1A
LACTB2 	SNRPE
ARHGDIB 	RNF146
BCL6 	MAGEA4
ENOPH1 	GMNN
ALKBH3 	PTEN
CAMK2A 	GIMAP4
CHKA 	TH
CHMP6 	HSCB
ANGPT1 	SHH
MTRR 	GPX8
NACC1 	RARA
ELMO1 	BROX
RAB5A 	BTLA
DPP4 	PIP4K2B
PARP16 	AKR1B10
RHEBL1 	E2F1
RAP2A 	SNRPA
VCPKMT 	UBE2I
TRPV2 	OLA1
PLEKHM2 	ADAP1
ZHX1 	B4GALT1
PIK3CA 	HIBCH
INPP5B 	RNASET2
CRYM 	KPNA2
HAO1 	CHN1
PARP12 	ZGPAT
TIGIT 	SUN2
PPP1CA 	TASP1
DOCK2 	KEAP1
KDM4E 	FOS
TGS1 	ISG20
RP2 	POLD2
ARHGAP20 	EIF3J
AMPH 	DDR2
BPGM 	PTPRB
STIP1 	CKS2
HDDC2 	ACTL7A
RANGAP1 	DCAF6
GSTO1 	CYLD
MRI1 	RBX1
SDR39U1 	CLC
AIF1 	TFDP1
SETD2 	SYTL2
DLG1 	ARHGAP32
SENP8 	DPP4
UBE2T 	CD300LF
DNMT3L 	NAMPT
PNPO 	TAB1
PIM2 	CCNC
FANCF 	ECI2
BBOX1 	MERTK
ACOT13 	ASF1A
CXXC1 	KDM8
AGER 	DTYMK
SCP2 	CPSF3
ETV1 	NDOR1
BRK1 	BTRC
RNF43 	VAPB
OXSR1 	MAPK14
HCN4 	PMP2
RPRD1B 	PMP2
FOXO3 	UMPS
RORA 	SIRT1
WRNIP1 	APLP1
CSNK1D 	ARSB
DCK 	EHMT2
ACAP1 	G6PD
TEK 	DAXX
ZAP70 	TNFRSF4
JMJD1C 	USH1G
ALKBH2 	SGTA
PLK1 	CYP2R1
GALE 	PHF13
NFKB2 	MYOM1
CDYL2 	ARF1
RAB28 	LIG4
SYT1 	BRCA1
CKS2 	CYP2R1
ALOX12 	PAPSS1
G3BP1 	HSDL2
ARHGEF4 	PDCL2
PWWP2B 	KCTD5
UXS1 	PLEKHB2
RAB25 	NIP7
APTX 	DUSP5
FGF12 	UBE2T
NACA 	LAMTOR3
PARP3 	FANCM
AKR1D1 	GFER
PTGDS 	ETFA
PPME1 	DCAF4
IQGAP3 	ATG5
NAGA 	NDRG2
CEP55 	CPSF4
ACAP1 	DUSP18
POR 	ACACA
BCL2L11 	PTPN13
TOP2A 	FES
KPNB1 	TREM1
XRCC4 	AKR1B1
AKR1C2 	FGF13
IDUA 	MYOM1
ETS1 	DDX41
IL22RA2 	ITK
NAGS 	CHN1
SEC24A 	AGFG1
TP73 	ARHGAP11A
CDKN2C 	RAN
TAF11 	NACC1
VCL 	RALGPS1
BUB1B 	MTA1
GPX4 	GMFG
OAT 	BDH2
OTUD5 	PAX5
MYO10 	KDM4A
DAO 	ALDH5A1
PITRM1 	MGAM
PPP2R3B 	GBP1
VHL 	VCL
SAT2 	ACACA
HSPA1L 	TNFSF10
PIWIL2 	GRIA2
TFRC 	ECHDC3
GLP1R 	BCOR
CYP11B2 	YARS
RASEF 	AHCY
FYN 	ADARB1
JUND 	IDO1
UHRF2 	TNFSF9
PLCB2 	SGOL1
JAK3 	SLC3A2
ECI2 	ARL6
HBP1 	TAB1
SYNE2 	DNAJB1
RAB6B 	EIF4EBP2
PCK1 	PDE4A
STAMBPL1 	HK3
ARF4 	ATRX
DPYSL3 	FAM105B
RP2 	TP73
ERI3 	VAMP2
PBRM1 	ECHDC3
UPF2 	PMVK
CTNNBL1 	RAB7A
INSC 	LY86
ARHGAP20 	SRPK2
RANGAP1 	MAD2L1BP
NEK1 	ITGB1BP1
DMC1 	TGM1
SLAIN2 	LIMS1
KLHL40 	UBE2K
CYP2A13 	KAT2B
ATAT1 	PCBP1
FGD5 	ERBB4
ISG15 	CYGB
HS3ST3A1 	KIF2C
HNMT 	PDCD1
SULT1C2 	TTC5
IQGAP2 	KIFC1
CAMTA1 	PAK7
UBE4B 	SPIN1
RAPH1 	PARP14
NAALAD2 	NT5E
RAC3 	PARP2
CENPE 	REM1
FKBP6 	AKR1C4
KCNJ4 	CSNK2A2
KIF1C 	BCAT1
SKAP1 	SDSL
CRYL1 	BIRC3
TXNRD1 	NR1H3
RILP 	SUPV3L1
RRM1 	RORC
PAICS 	GTF2B
ACY1 	MAFA
CABP1 	OGG1
LIG1 	GNE
NUP43 	PAXIP1
PHF8 	NRP1
VRK1 	UBE2G2
ALDH18A1 	PIP4K2B
IL20RA 	ADAP1
SEPT2 	USH1C
RAD18 	TIGIT
SEPT3 	SULT1B1
ZADH2 	RLBP1
IDH2 	TBX3
CD2AP 	ANXA2
GSPT1 	CENPA
SPTAN1 	AHCYL1
TRIM33 	MPDZ
ERH 	EPHA3
ITSN1 	EPHA2
MSRB1 	TNFSF10
HRSP12 	AGFG1
NCAM2 	CUL4B
WIF1 	AHCYL2
SNRPB 	MTAP
TEAD2 	BTRC
MVD 	KDM7A
GSTP1 	API5
ZBP1 	RLBP1
CYTH3 	TCF7L2
ACOT7 	PMAIP1
NR1D1 	PTPRJ
L3MBTL2 	RXRA
YARS2 	BRPF1
LACTB2 	CLCN5
SERPINI1 	APOBEC3F
SEC24B 	TNFRSF1B
HLTF 	FLNA
BHMT 	CTNNA1
CYP2C8 	MMP1
AOC1 	VWF
OARD1 	NAIP
ZBTB7A 	SPOP
MX1 	OTC
ANK1 	CPSF4
H2AFY2 	SMAD2
GALK1 	CTPS1
SPOP 	TLX2
DUPD1 	TIRAP
SPSB1 	AIMP1
UCK1 	ALDOC
GLTP 	RHCG
ADARB1 	CAMK2B
SHMT1 	WIF1
WDR77 	SLC4A1AP
CHMP1A 	DNMT3B
PLK1 	MAP3K3
RASL12 	KANK2
SUMO3 	KMT2A
MTOR 	MLYCD
CYP1A2 	CPOX
LRRC4 	SERPINE1
ATIC 	HSD17B8
SENP8 	SCMH1
ARFGEF2 	GRB14
DUSP18 	MLYCD
MINA 	IQGAP3
TNFRSF10B 	KCTD5
APOBEC2 	PRCP
MAGOH 	INPP5B
EPHX2 	ACVR2B
BTF3 	NEIL1
CDK6 	S100A4
CA7 	ID2
TOP2B 	ARL2
BRD3 	ITGB1
PPIC 	AHNAK
U2AF2 	BCL2
TBCA 	GTF2A1
AHI1 	AADAT
KLRC1 	FABP9
DAO 	CCNK
CAPN13 	CAMK2D
GPD1 	MATK
BRCA1 	CYP3A4
BOC 	PTPN13
CBL 	PPP1R8
MECR 	ZGPAT
LCMT1 	NCOA2
OAT 	SERPINB2
EIF4G1 	LCN15
DHX8 	NPM1
MAST3 	LNX2
OS9 	NFKBIA
DARS 	CASP3
SPRY2 	NFE2L2
SMURF1 	NOS3
RMI1 	TNFRSF10B
SYNE2 	COL1A1
ESR2 	CDC7
DPP7 	ZG16
DLC1 	DYNLL1
FAF1 	CNTF
GMPS 	EIF4G3
SCML2 	GSTT2
SRSF1 	S100P
EBF1 	CD274
EIF2AK2 	METTL21A
PAXIP1 	L3MBTL2
BAG6 	HSDL2
MEMO1 	DDX3X
CLK1 	CDC26
KIF1C 	MTMR2
HSP90AA1 	UXS1
ATAD2B 	IPO13
SLBP 	DNMT3A
PREX1 	KLHL40
EBF3 	DUSP4
PRPF19 	PRPF4B
DLG1 	YWHAG
MIF 	PNLIPRP1
ASPA 	PPT2
MEP1B 	PCGF1
RBM8A 	OS9
DYNLL1 	LEPR
ADPRH 	TPI1
TNFSF4 	STAU1
MYLK4 	PTPRF
PPP1R13L 	FNBP1
CEP55 	PPM1A
TENC1 	DYNLL2
HSD17B8 	CDC37
IDH2 	EIF2B5
TNFRSF17 	CBLB
VIM 	HSPB11
ALAD 	GLTP
SUMF1 	PPOX
SHMT1 	KDM8
UCK1 	GRB7
AKR1B10 	DLG3
HVCN1 	RUVBL2
B4GALT7 	MAGEA4
AUH 	PLXNB1
IFIT5 	UPP1
KMT2B 	TNFSF10
HSPA5 	UBB
PIK3CA 	UBE4B
LGALS9 	MAP2K2
GINS1 	CAT
S100A13 	PIM1
SIRT3 	EBF1
ANPEP 	MARK1
ARL5B 	PEBP1
WDR92 	FOXM1
HIRA 	VRK1
RTN4IP1 	BTK
SERPINB5 	RABIF
TNFAIP6 	EXOSC10
WRN 	GCK
DYNLRB1 	CLIP1
KLC2 	GLB1
PDIA3 	RABGAP1L
MTAP 	CKS1B
DTX3L 	ALDH4A1
DYNLL2 	CDC7
NUTF2 	HEBP2
GALE 	FANCF
CRYM 	MYH9
SENP1 	ASPA
MKNK2 	SMAD3
NEDD4 	EIF4EBP2
LGR5 	F2R
KIF2C 	EXOSC10
RAD51 	UTRN
ZRANB1 	AGXT
ADSL 	CNOT6L
ISG15 	WDTC1
TPP1 	SERPINE1
MAFA 	FN1
GINS1 	PDK4
GATA3 	NLGN4X
AFF4 	AOC1
KCTD5 	NCR3LG1
SNX33 	GCGR
KRT5 	HGD
PRDX2 	UBE2C
PARG 	NDNL2
GEMIN6 	HSPA6
DIRAS2 	MRI1
CHFR 	RAP1GAP
KANK2 	GGA2
